,state,name,FIPS,pop2010,age_under_5,age_under_18,age_over_65,female,white,two_plus_races,hispanic,white_not_hispanic,no_move_in_one_plus_year,foreign_born,foreign_spoken_at_home,hs_grad,bachelors,veterans,mean_work_travel,housing_units,home_ownership,housing_multi_unit,median_val_owner_occupied,households,persons_per_household,per_capita_income,median_household_income,poverty,private_nonfarm_establishments,private_nonfarm_employment,building_permits,area,density,total_person
0,Alabama,Autauga County,1001,54571,6.6,26.8,12.0,51.3,78.5,1.6,2.4,77.2,86.3,2.0,3.7,85.3,21.7,5817,25.1,22135,77.5,7.2,133900.0,19718,2.7,24568,53255,10.6,877,10628,191,594.44,91.8,53238.600000000006
1,Alabama,Baldwin County,1003,182265,6.1,23.0,16.8,51.1,85.7,1.5,4.4,83.5,83.0,3.6,5.5,87.6,26.8,20396,25.8,104061,76.7,22.6,177200.0,69476,2.5,26469,50147,12.2,4812,52233,696,1589.78,114.6,173690.0
2,Alabama,Barbour County,1005,27457,6.2,21.9,14.2,46.9,48.0,0.9,5.1,46.8,83.0,2.8,4.7,71.9,13.5,2327,23.8,11829,68.0,11.1,88200.0,9795,2.52,15875,33219,25.0,522,7990,10,884.88,31.0,24683.4
3,Alabama,Bibb County,1007,22915,6.0,22.7,12.7,46.3,75.8,0.9,1.8,75.0,90.5,0.7,1.5,74.5,10.0,1883,28.3,8981,82.9,6.6,81200.0,7441,3.02,19918,41770,12.6,318,2927,8,622.58,36.8,22471.82
4,Alabama,Blount County,1009,57322,6.3,24.6,14.7,50.5,92.6,1.2,8.1,88.9,87.2,4.7,7.2,74.7,12.5,4072,33.2,23887,82.0,3.7,113700.0,20605,2.73,21070,45549,13.4,749,6968,18,644.78,88.9,56251.65
5,Alabama,Bullock County,1011,10914,6.8,22.3,13.5,45.8,23.0,0.8,7.1,21.9,88.5,1.1,3.8,74.7,12.0,943,28.1,4493,76.9,9.9,66300.0,3732,2.85,20289,31602,25.3,120,1919,1,622.81,17.5,10636.2
6,Alabama,Butler County,1013,20947,6.5,24.1,16.7,53.0,54.4,0.8,0.9,54.1,92.8,1.1,1.6,74.8,11.0,1675,25.1,9964,69.0,13.7,70200.0,8019,2.58,16916,30659,25.0,446,5400,3,776.83,27.0,20689.02
7,Alabama,Calhoun County,1015,118572,6.1,22.9,14.3,51.8,74.9,1.7,3.3,73.6,82.9,2.5,4.5,78.5,16.1,11757,22.1,53289,70.7,14.3,98200.0,46421,2.46,20574,38407,19.5,2444,38324,107,605.87,195.7,114195.66
8,Alabama,Chambers County,1017,34215,5.7,22.5,16.7,52.2,58.8,1.1,1.6,58.1,86.2,0.9,1.6,71.8,10.8,2893,23.6,17004,71.4,8.7,82200.0,13681,2.51,16626,31467,20.3,568,6241,10,596.53,57.4,34339.31
9,Alabama,Cherokee County,1019,25989,5.3,21.4,17.9,50.4,92.7,1.5,1.2,92.1,88.1,0.5,1.4,73.4,10.5,2172,26.2,16267,77.5,4.3,97100.0,11352,2.22,21322,40690,17.6,350,3600,6,553.7,46.9,25201.440000000002
10,Alabama,Chilton County,1021,43643,6.9,25.1,13.6,50.5,84.1,1.2,7.8,81.1,88.1,4.0,6.0,75.9,12.2,3317,32.0,19278,75.1,4.4,103700.0,16563,2.59,20517,39486,18.4,744,7048,22,692.85,63.0,42898.17
11,Alabama,Choctaw County,1023,13859,5.4,22.7,18.2,51.7,55.8,0.4,0.5,55.6,92.1,0.3,1.6,71.1,10.9,745,34.8,7269,85.6,3.9,63400.0,5296,2.61,17214,31076,18.7,276,2969,1,913.5,15.2,13822.56
12,Alabama,Clarke County,1025,25833,5.7,24.7,16.2,52.7,54.5,0.7,1.0,54.0,93.5,0.2,1.1,76.1,13.5,1649,25.1,12638,80.0,6.3,73300.0,9144,2.84,17372,27439,29.2,623,6944,5,1238.47,20.9,25968.96
13,Alabama,Clay County,1027,13932,5.7,22.6,17.6,51.0,81.7,1.7,2.9,80.3,84.9,2.0,2.8,71.4,9.5,1148,27.3,6776,72.8,11.2,82900.0,5851,2.24,18332,35595,18.8,204,3253,2,603.96,23.1,13106.240000000002
14,Alabama,Cleburne County,1029,14972,6.3,23.7,15.8,50.2,94.0,1.1,2.1,93.2,86.1,1.2,1.8,70.3,8.4,1126,29.1,6718,74.9,5.3,87900.0,5397,2.71,17490,36077,17.1,180,2071,8,560.1,26.7,14625.869999999999
15,Alabama,Coffee County,1031,49948,6.6,24.2,14.4,50.6,74.7,2.5,6.4,72.3,80.9,4.6,6.3,79.3,22.1,5947,20.7,22330,69.7,13.6,116700.0,18928,2.51,22797,42253,17.2,1016,12499,239,678.97,73.6,47509.28
16,Alabama,Colbert County,1033,54428,5.8,22.1,17.4,51.9,80.5,1.6,2.0,79.6,85.0,1.6,2.6,80.1,16.4,4586,22.7,25758,73.5,12.3,94700.0,22165,2.41,21079,39610,15.7,1290,19703,88,592.62,91.8,53417.65
17,Alabama,Conecuh County,1035,13228,5.9,23.0,17.9,51.5,51.3,1.0,1.2,51.1,95.9,0.0,1.0,71.3,9.7,1185,25.2,7093,81.6,6.0,72500.0,4861,2.74,15755,26944,30.6,216,2612,1,850.16,15.6,13319.140000000001
18,Alabama,Coosa County,1037,11539,4.9,20.5,17.1,50.4,66.3,0.9,2.0,65.9,88.6,0.6,1.4,73.1,10.6,1097,30.2,6478,83.7,1.9,73100.0,4561,2.43,19209,35560,16.0,106,1050,0,650.93,17.7,11083.230000000001
19,Alabama,Covington County,1039,37765,6.0,22.6,18.4,51.6,84.8,1.4,1.3,84.1,88.3,1.5,2.2,76.5,13.1,3764,20.8,18829,74.0,6.1,85700.0,14663,2.54,19822,33852,19.0,865,10810,12,1030.46,36.6,37244.020000000004
20,Alabama,Crenshaw County,1041,13906,6.0,23.8,15.9,51.7,72.6,1.5,1.5,72.1,89.1,4.1,4.6,73.7,10.1,1256,27.4,6735,67.8,9.2,71900.0,5641,2.46,19793,35140,17.7,243,3212,1,608.84,22.8,13876.86
